-23.72,-16.50,16001.56
-25.14,-19.87,16006.08
-25.28,-23.48,16011.38
-16.62,-25.31,16008.81
-15.99,-28.44,16006.17
-11.99,-25.02,16012.46
-13.99,-23.57,16013.84
-11.49,-27.19,16015.74
-14.31,-30.43,16013.76
-9.40,-28.31,16009.87
-12.53,-31.49,16001.98
-17.50,-35.72,16009.88
-15.23,-29.73,16010.98
-17.87,-31.05,16012.83
-19.17,-31.29,16006.79
-10.81,-30.93,16004.65
-13.07,-26.38,16002.82
-15.42,-30.86,16004.48
-13.65,-28.72,16002.66
-19.37,-32.48,16006.52
-16.00,-34.06,15999.40
-9.60,-32.96,15998.43
-11.72,-32.71,15998.50
-14.73,-34.47,15996.78
-18.40,-32.75,15997.74
-19.68,-32.11,15992.45
-18.69,-30.11,15994.03
-19.36,-33.60,15990.73
-20.39,-35.12,15991.39
-20.17,-38.77,15992.62
-18.56,-37.43,15992.99
-17.83,-36.56,15991.34
-20.34,-35.13,15985.98
-16.52,-36.97,15990.68
-11.50,-34.92,15991.94
-6.32,-37.98,15998.14
-3.01,-38.08,15997.64
0.54,-39.57,16002.76
-1.88,-43.00,16000.62
-4.59,-39.25,15997.79
-7.76,-36.28,15997.30
-12.77,-44.27,15995.63
-15.53,-42.86,15989.85
-18.76,-42.31,15988.16
-18.02,-43.00,15981.75
-21.12,-48.85,15977.46
-17.06,-47.41,15980.19
-16.21,-45.63,15982.18
-11.20,-46.35,15984.27
-12.24,-45.04,15986.66
-9.03,-41.58,15987.72
-8.98,-45.70,15993.74
-9.13,-43.02,15992.05
-9.87,-44.87,15998.65
-7.98,-43.22,16001.51
-11.98,-40.26,16005.84
-7.58,-38.25,16003.95
-7.80,-42.34,16009.75
-12.41,-42.22,16011.46
-12.99,-40.31,16011.49
-10.34,-39.69,16010.92
-5.62,-39.31,16013.37
-10.74,-40.14,16011.50
-7.20,-36.54,16007.93
-3.04,-37.31,16004.73
-1.49,-37.64,16007.29
-5.42,-31.36,16009.53
-8.15,-35.39,16006.25
-6.54,-36.42,15999.14
-7.01,-37.80,15998.78
-0.66,-22.71,16016.64
40.77,-23.78,15980.41
65.73,-24.79,15982.39
65.85,-24.75,16012.67
81.15,-21.51,16050.64
214.30,-21.24,15935.31
277.18,-18.17,15958.54
380.12,-17.07,15944.61
511.12,-16.21,15937.18
653.56,-15.00,15939.72
816.28,-11.85,15958.54
1049.07,-14.66,15874.81
1311.21,-12.13,15805.27
1568.85,-11.12,15762.21
1865.61,-14.56,15650.10
2163.53,-18.24,15567.99
2473.55,-16.32,15459.99
2784.88,-20.91,15365.39
3095.43,-26.46,15253.52
3406.66,-27.34,15143.25
3732.93,-32.17,15000.69
4051.68,-35.56,14867.65
4354.10,-37.99,14756.07
4645.39,-37.29,14645.07
4923.72,-42.22,14528.41
5193.34,-46.71,14413.19
5440.07,-50.38,14321.73
5686.07,-52.06,14203.25
5909.16,-53.25,14124.08
6119.31,-51.59,14056.48
6316.34,-58.01,13993.06
6507.72,-57.91,13925.80
6703.34,-59.42,13831.31
6886.57,-58.64,13760.75
7052.24,-58.51,13702.51
7217.63,-60.39,13642.38
7374.75,-58.77,13579.06
7519.61,-63.23,13523.51
7654.83,-58.07,13475.54
7782.69,-60.16,13426.16
7903.15,-62.16,13378.65
8012.80,-66.45,13343.92
8130.56,-64.33,13290.72
8246.23,-64.51,13240.79
8337.52,-64.28,13212.35
8434.64,-66.47,13176.73
8521.11,-66.95,13140.89
8604.05,-67.40,13102.65
8683.45,-68.03,13080.52
8760.08,-71.03,13052.49
8828.07,-71.08,13036.06
8899.07,-70.32,13013.86
8970.32,-72.81,12979.77
9037.60,-71.57,12948.98
9102.12,-70.79,12927.13
9159.41,-70.65,12901.18
9223.04,-70.92,12882.52
9278.49,-70.97,12856.79
9325.77,-68.02,12843.95
9377.48,-65.62,12825.35
9429.41,-67.54,12793.69
9469.13,-68.36,12782.00
9512.48,-70.34,12768.50
9555.85,-71.23,12742.48
9597.06,-72.07,12720.35
9634.61,-74.86,12704.54
9671.08,-73.92,12681.51
9704.72,-79.22,12663.63
9739.69,-77.46,12654.25
9770.50,-75.59,12639.74
9802.98,-76.21,12629.75
9831.23,-80.00,12613.46
9862.27,-79.40,12594.19
9889.95,-76.43,12579.88
9919.46,-81.01,12558.89
9946.48,-81.56,12560.34
9972.96,-78.08,12552.53
9997.11,-78.78,12535.50
10017.66,-81.44,12532.33
10036.37,-80.36,12521.71
10057.15,-78.95,12507.42
10070.50,-75.80,12509.85
10083.97,-74.41,12514.96
10098.97,-75.69,12508.61
10118.02,-72.70,12493.58
10132.52,-67.47,12492.30
10148.30,-71.30,12494.09
10161.88,-74.13,12483.98
10181.79,-73.22,12468.78
10196.30,-73.16,12459.95
10209.08,-70.11,12456.95
10221.03,-70.80,12451.90
10232.78,-75.06,12436.11
10245.74,-74.71,12432.50
10252.65,-75.57,12432.48
10258.82,-73.19,12435.45
10270.08,-75.73,12419.08
10278.18,-72.95,12409.53
10285.87,-71.50,12414.85
10296.97,-72.72,12402.71
10306.53,-71.29,12393.77
10319.60,-74.32,12381.88
10323.22,-75.61,12386.79
10330.46,-77.03,12386.25
10338.73,-77.98,12377.14
10343.40,-79.48,12374.08
10348.23,-77.10,12373.37
10355.22,-73.65,12371.31
10361.06,-74.37,12362.14
10364.20,-71.85,12368.23
10367.99,-70.05,12368.02
10371.39,-65.75,12365.02
10374.42,-63.66,12354.17
10374.70,-64.88,12365.66
10374.97,-62.64,12363.38
10371.02,-64.31,12365.61
10372.27,-60.49,12371.13
10379.85,-62.87,12364.17
10381.26,-64.32,12362.16
10386.60,-67.51,12359.26
10394.67,-67.33,12357.49
10395.74,-70.36,12361.22
10397.55,-67.25,12353.76
10400.07,-67.68,12358.67
10402.87,-68.90,12360.74
10400.32,-71.25,12352.70
10401.31,-72.69,12358.67
10394.84,-72.66,12364.93
10394.10,-72.02,12361.09
10392.39,-71.22,12358.63
10385.97,-73.46,12370.90
10372.68,-73.19,12380.96
10365.04,-76.13,12377.91
10364.59,-73.32,12390.01
10368.36,-76.26,12379.71
10366.14,-76.84,12376.93
10363.63,-77.20,12379.48
10369.85,-78.94,12389.31
10374.36,-75.99,12382.04
10374.84,-70.39,12395.54
10384.90,-68.08,12373.96
10388.86,13.33,12315.46
10365.81,-18.34,12339.89
10360.72,-90.42,12381.29
10341.69,-91.50,12409.23
10325.80,-87.72,12423.17
10316.71,-83.34,12427.01
10305.28,-87.77,12430.86
10293.81,-86.58,12441.72
10282.12,-80.25,12448.03
10270.62,-77.24,12455.63
10267.08,-78.78,12444.85
10274.13,-80.24,12386.21
10271.42,-80.83,12283.70
10192.25,-78.19,12244.91
10075.04,-71.08,12112.07
9703.89,-59.72,12188.26
9442.09,-29.74,12351.65
8926.79,-25.65,12617.27
8471.85,-25.17,12776.40
8039.06,-31.11,12913.38
7626.70,-33.95,13079.32
7229.77,-34.26,13220.75
6866.88,-39.34,13344.31
6519.54,-47.78,13469.30
6185.36,-46.59,13598.03
5872.09,-37.26,13714.33
5577.49,-42.60,13833.21
5293.61,-40.47,13945.35
5020.73,-40.24,14046.89
4764.89,-42.63,14139.94
4522.25,-50.90,14235.34
4288.14,-51.55,14320.98
